Invoice,StockCode,StockCode Categories,Description,Quantity,InvoiceDate, Price ,Customer ID,Country
493411,21539,Numeric,RETRO SPOTS BUTTER DISH,1,04-01-2010, £4.25 ,14590,United Kingdom
493413,21724,Numeric,PANDA AND BUNNIES STICKER SHEET,1,04-01-2010, £0.85 ,Unknown,United Kingdom
493413,84578,Numeric,ELEPHANT TOY WITH BLUE T-SHIRT,1,04-01-2010, £3.75 ,Unknown,United Kingdom
493413,21723,Numeric,ALPHABET HEARTS STICKER SHEET,1,04-01-2010, £0.85 ,Unknown,United Kingdom
493414,21844,Numeric,RETRO SPOT MUG,36,04-01-2010, £2.55 ,14590,United Kingdom
493414,21533,Numeric,RETRO SPOT LARGE MILK JUG,12,04-01-2010, £4.25 ,14590,United Kingdom
493414,37508,Numeric,NEW ENGLAND CERAMIC CAKE SERVER,2,04-01-2010, £2.55 ,14590,United Kingdom
493414,35001G,Other,HAND OPEN SHAPE GOLD,2,04-01-2010, £4.25 ,14590,United Kingdom
493414,21527,Numeric,RETRO SPOT TRADITIONAL TEAPOT ,12,04-01-2010, £6.95 ,14590,United Kingdom
493414,21531,Numeric,RETRO SPOT SUGAR JAM BOWL,24,04-01-2010, £2.10 ,14590,United Kingdom
493415,21527,Numeric,RETRO SPOT TRADITIONAL TEAPOT ,3,04-01-2010, £7.95 ,14590,United Kingdom
493426,22109,Numeric,FULL ENGLISH BREAKFAST PLATE,1,04-01-2010, £3.39 ,16550,United Kingdom
493427,82483,Numeric,WOOD 2 DRAWER CABINET WHITE FINISH,4,04-01-2010, £5.95 ,13287,United Kingdom
493427,21681,Numeric,GIANT MEDINA STAMPED METAL BOWL ,2,04-01-2010, £9.95 ,13287,United Kingdom
493427,21682,Numeric,LARGE MEDINA STAMPED METAL BOWL ,4,04-01-2010, £4.95 ,13287,United Kingdom
493427,18096C,Other,WHITE ROUND PORCELAIN TLIGHT HOLDER,6,04-01-2010, £2.55 ,13287,United Kingdom
493427,21577,Numeric,SAVE THE PLANET COTTON TOTE BAG,6,04-01-2010, £2.25 ,13287,United Kingdom
493427,21576,Numeric,LETS GO SHOPPING COTTON TOTE BAG,6,04-01-2010, £2.25 ,13287,United Kingdom
493427,37447,Numeric,CERAMIC CAKE DESIGN SPOTTED PLATE,12,04-01-2010, £1.49 ,13287,United Kingdom
493427,21232,Numeric,STRAWBERRY CERAMIC TRINKET BOX,12,04-01-2010, £1.25 ,13287,United Kingdom
493427,79000,Numeric,MOROCCAN TEA GLASS,12,04-01-2010, £0.85 ,13287,United Kingdom
493427,84499,Numeric,BLACK FLOWER CANDLE PLATE,12,04-01-2010, £0.85 ,13287,United Kingdom
493427,72780,Numeric,BLACK SILOUETTE CANDLE PLATE,12,04-01-2010, £0.85 ,13287,United Kingdom
493427,22214,Numeric,CANDLE PLATE LACE WHITE,6,04-01-2010, £2.55 ,13287,United Kingdom
493427,72369A,Other,PINK CLEAR GLASS CANDLE PLATE,6,04-01-2010, £1.25 ,13287,United Kingdom
493427,21428,Numeric,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,04-01-2010, £4.25 ,13287,United Kingdom
493427,22178,Numeric,VICTORIAN GLASS HANGING T-LIGHT,12,04-01-2010, £1.25 ,13287,United Kingdom
493427,84615,Numeric,PINK ROUND BUTTERFLY MIRROR ,2,04-01-2010, £7.95 ,13287,United Kingdom
493427,84686,Numeric,BEACH HUT MIRROR,2,04-01-2010, £4.25 ,13287,United Kingdom
493427,21777,Numeric,RECIPE BOX WITH METAL HEART,2,04-01-2010, £7.95 ,13287,United Kingdom
493428,84563A,Other,PINK & WHITE BREAKFAST TRAY,1,04-01-2010, £5.95 ,16550,United Kingdom
493428,84562A,Other,PINK/WHITE RIBBED MELAMINE JUG,1,04-01-2010, £7.95 ,16550,United Kingdom
493428,22347,Numeric,PIZZA SLICE DISH,6,04-01-2010, £1.25 ,16550,United Kingdom
493428,21658,Numeric,GLASS  BEURRE DISH,2,04-01-2010, £3.95 ,16550,United Kingdom
493428,22084,Numeric,PAPER CHAIN KIT EMPIRE,4,04-01-2010, £2.95 ,16550,United Kingdom
493428,22083,Numeric,PAPER CHAIN KIT RETRO SPOT,6,04-01-2010, £2.95 ,16550,United Kingdom
493428,22197,Numeric,"POPCORN HOLDER , SMALL ",6,04-01-2010, £0.85 ,16550,United Kingdom
493428,22198,Numeric,"POPCORN HOLDER , LARGE",6,04-01-2010, £1.65 ,16550,United Kingdom
493428,84988,Numeric,SET OF 72 PINK HEART PAPER DOILIES,10,04-01-2010, £1.45 ,16550,United Kingdom
493428,21559,Numeric,STRAWBERRY LUNCHBOX WITH CUTLERY,4,04-01-2010, £2.55 ,16550,United Kingdom
493428,21558,Numeric,SKULL LUNCHBOX WITH CUTLERY ,1,04-01-2010, £2.55 ,16550,United Kingdom
493428,22353,Numeric,LUNCHBOX WITH CUTLERY FAIRY CAKES ,4,04-01-2010, £2.55 ,16550,United Kingdom
493428,21561,Numeric,DINOSAUR LUNCHBOX WITH CUTLERY,4,04-01-2010, £2.55 ,16550,United Kingdom
493428,21622,Numeric,VINTAGE UNION JACK CUSHION COVER,6,04-01-2010, £4.95 ,16550,United Kingdom
493428,21411,Numeric,GINGHAM HEART  DOORSTOP RED,2,04-01-2010, £4.25 ,16550,United Kingdom
493428,20682,Numeric,RED SPOTTY CHILDS UMBRELLA,2,04-01-2010, £3.25 ,16550,United Kingdom
493428,20686,Numeric,DOLLY MIXTURE CHILDREN'S UMBRELLA,2,04-01-2010, £3.25 ,16550,United Kingdom
493428,20681,Numeric,PINK SPOTTY CHILDS UMBRELLA,2,04-01-2010, £3.25 ,16550,United Kingdom
493428,20754,Numeric,RETRO RED SPOTTY WASHING UP GLOVES,3,04-01-2010, £2.10 ,16550,United Kingdom
493428,20752,Numeric,RETRO BLUE SPOTTY WASHING UP GLOVES,3,04-01-2010, £2.10 ,16550,United Kingdom
493428,22190,Numeric,LOCAL CAFE MUG,4,04-01-2010, £2.10 ,16550,United Kingdom
493428,21843,Numeric,RETRO SPOT CAKE STAND,1,04-01-2010, £10.95 ,16550,United Kingdom
493428,79320,Numeric, FLAMINGO LIGHTS,2,04-01-2010, £4.95 ,16550,United Kingdom
493428,79321,Numeric,CHILLI LIGHTS,2,04-01-2010, £4.95 ,16550,United Kingdom
493430,21556,Numeric,CERAMIC STRAWBERRY MONEY BOX,1,04-01-2010, £2.55 ,14680,United Kingdom
493430,21232,Numeric,STRAWBERRY CERAMIC TRINKET BOX,2,04-01-2010, £1.25 ,14680,United Kingdom
493430,21527,Numeric,RETRO SPOT TRADITIONAL TEAPOT ,1,04-01-2010, £7.95 ,14680,United Kingdom
493430,85123A,Other,WHITE HANGING HEART T-LIGHT HOLDER,1,04-01-2010, £2.95 ,14680,United Kingdom
493431,21533,Numeric,RETRO SPOT LARGE MILK JUG,1,04-01-2010, £4.95 ,17372,United Kingdom
493431,22066,Numeric,LOVE HEART TRINKET POT,4,04-01-2010, £1.45 ,17372,United Kingdom
493431,21432,Numeric,SET OF 3 CASES WOODLAND DESIGN,1,04-01-2010, £5.95 ,17372,United Kingdom
493432,21488,Numeric,RED WHITE SCARF  HOT WATER BOTTLE,1,04-01-2010, £3.95 ,14680,United Kingdom
493432,84029E,Other,RED WOOLLY HOTTIE WHITE HEART.,3,04-01-2010, £3.75 ,14680,United Kingdom
493432,21357,Numeric,TOAST ITS - DINOSAUR,5,04-01-2010, £1.25 ,14680,United Kingdom
493432,37448,Numeric,CERAMIC CAKE DESIGN SPOTTED MUG,2,04-01-2010, £1.49 ,14680,United Kingdom
493432,20726,Numeric,LUNCH BAG WOODLAND,20,04-01-2010, £1.65 ,14680,United Kingdom
493432,21870,Numeric,I CAN ONLY PLEASE ONE PERSON MUG,2,04-01-2010, £1.25 ,14680,United Kingdom
493432,37461,Numeric,FUNKY MONKEY MUG,2,04-01-2010, £1.25 ,14680,United Kingdom
493432,21872,Numeric,GLAMOROUS  MUG,2,04-01-2010, £1.25 ,14680,United Kingdom
493432,47591D,Other,PINK FAIRY CAKE CHILD'S APRON,1,04-01-2010, £1.95 ,14680,United Kingdom
493432,21156,Numeric,RED SPOTTY CHILDS APRON,2,04-01-2010, £1.95 ,14680,United Kingdom
493432,22415,Numeric,WHITE TISSUE REAM,1,04-01-2010, £7.95 ,14680,United Kingdom
493432,21329,Numeric,DINOSAURS  WRITING SET ,1,04-01-2010, £1.65 ,14680,United Kingdom
493432,21327,Numeric,SKULLS WRITING SET ,1,04-01-2010, £1.65 ,14680,United Kingdom
493432,85132B,Other,CHARLIE AND LOLA TABLE TINS,2,04-01-2010, £9.95 ,14680,United Kingdom
493432,21523,Numeric,FANCY FONT HOME SWEET HOME DOORMAT,1,04-01-2010, £6.75 ,14680,United Kingdom
493432,85150,Numeric,LADIES & GENTLEMEN METAL SIGN,1,04-01-2010, £2.55 ,14680,United Kingdom
493432,21218,Numeric,RED SPOTTY BISCUIT TIN,1,04-01-2010, £3.75 ,14680,United Kingdom
493432,84032A,Other,CHARLIE+LOLA PINK HOT WATER BOTTLE,2,04-01-2010, £2.95 ,14680,United Kingdom
493432,20681,Numeric,PINK SPOTTY CHILDS UMBRELLA,2,04-01-2010, £3.25 ,14680,United Kingdom
493432,20682,Numeric,RED SPOTTY CHILDS UMBRELLA,2,04-01-2010, £3.25 ,14680,United Kingdom
493432,21903,Numeric,MAN FLU METAL SIGN,2,04-01-2010, £2.10 ,14680,United Kingdom
493432,85152,Numeric,HAND OVER THE CHOCOLATE   SIGN ,6,04-01-2010, £2.10 ,14680,United Kingdom
493432,21175,Numeric,GIN + TONIC DIET METAL SIGN,2,04-01-2010, £2.10 ,14680,United Kingdom
493432,85123A,Other,WHITE HANGING HEART T-LIGHT HOLDER,32,04-01-2010, £2.55 ,14680,United Kingdom
493432,21733,Numeric,RED HANGING HEART T-LIGHT HOLDER,8,04-01-2010, £2.95 ,14680,United Kingdom
493432,84997A,Other,GREEN 3 PIECE MINI DOTS CUTLERY SET,3,04-01-2010, £3.75 ,14680,United Kingdom
493432,84997B,Other,RED 3 PIECE MINI DOTS CUTLERY SET,4,04-01-2010, £3.75 ,14680,United Kingdom
493432,84997C,Other,BLUE 3 PIECE MINI DOTS CUTLERY SET,4,04-01-2010, £3.75 ,14680,United Kingdom
493432,84997D,Other,PINK 3 PIECE MINI DOTS CUTLERY SET,1,04-01-2010, £3.75 ,14680,United Kingdom
493432,21217,Numeric,RED SPOTTY ROUND CAKE TINS,2,04-01-2010, £9.95 ,14680,United Kingdom
493432,20914,Numeric,SET/5 RED SPOTTY LID GLASS BOWLS,1,04-01-2010, £2.95 ,14680,United Kingdom
493432,21558,Numeric,SKULL LUNCHBOX WITH CUTLERY ,1,04-01-2010, £2.55 ,14680,United Kingdom
493432,22353,Numeric,LUNCHBOX WITH CUTLERY FAIRY CAKES ,2,04-01-2010, £2.55 ,14680,United Kingdom
493432,21559,Numeric,STRAWBERRY LUNCHBOX WITH CUTLERY,2,04-01-2010, £2.55 ,14680,United Kingdom
493432,21556,Numeric,CERAMIC STRAWBERRY MONEY BOX,3,04-01-2010, £2.55 ,14680,United Kingdom
493432,20718,Numeric,RED SPOTTY SHOPPER BAG,2,04-01-2010, £1.25 ,14680,United Kingdom
493432,20725,Numeric,LUNCH BAG RED SPOTTY,10,04-01-2010, £1.65 ,14680,United Kingdom
493432,22073,Numeric,RETRO SPOT STORAGE JAR,1,04-01-2010, £3.75 ,14680,United Kingdom
493432,21533,Numeric,RETRO SPOT LARGE MILK JUG,1,04-01-2010, £4.95 ,14680,United Kingdom
493432,22072,Numeric,TEA CUP AND SAUCER RETRO SPOT,2,04-01-2010, £3.75 ,14680,United Kingdom
493432,21537,Numeric,RETRO SPOTS PUDDING BOWL,1,04-01-2010, £4.25 ,14680,United Kingdom
493432,21527,Numeric,RETRO SPOT TRADITIONAL TEAPOT ,5,04-01-2010, £7.95 ,14680,United Kingdom
493432,21531,Numeric,RETRO SPOT SUGAR JAM BOWL,2,04-01-2010, £2.55 ,14680,United Kingdom
493432,21535,Numeric,RETRO SPOT SMALL MILK JUG,2,04-01-2010, £2.55 ,14680,United Kingdom
493432,21232,Numeric,STRAWBERRY CERAMIC TRINKET BOX,7,04-01-2010, £1.25 ,14680,United Kingdom
493432,21231,Numeric,SWEETHEART CERAMIC TRINKET BOX,4,04-01-2010, £1.25 ,14680,United Kingdom
493432,37503,Numeric,TEA TIME CAKE STAND IN GIFT BOX,2,04-01-2010, £10.75 ,14680,United Kingdom
493432,21844,Numeric,RETRO SPOT MUG,2,04-01-2010, £2.95 ,14680,United Kingdom
493432,21874,Numeric,GIN AND TONIC MUG,2,04-01-2010, £1.25 ,14680,United Kingdom
493433,84991,Numeric,60 TEATIME FAIRY CAKE CASES,24,04-01-2010, £0.55 ,14709,United Kingdom
493433,15060B,Other,FAIRY CAKE DESIGN UMBRELLA,4,04-01-2010, £3.75 ,14709,United Kingdom
493433,85099C,Other,JUMBO  BAG BAROQUE BLACK WHITE,20,04-01-2010, £1.95 ,14709,United Kingdom
493433,21928,Numeric,JUMBO BAG SCANDINAVIAN PAISLEY,20,04-01-2010, £1.95 ,14709,United Kingdom
493433,21929,Numeric,JUMBO BAG PINK VINTAGE PAISLEY,30,04-01-2010, £1.95 ,14709,United Kingdom
493433,85099B,Other,JUMBO BAG RED WHITE SPOTTY ,20,04-01-2010, £1.95 ,14709,United Kingdom
493433,21843,Numeric,RETRO SPOT CAKE STAND,2,04-01-2010, £10.95 ,14709,United Kingdom
493433,48185,Numeric,DOOR MAT FAIRY CAKE,4,04-01-2010, £6.75 ,14709,United Kingdom
493433,48188,Numeric,DOOR MAT WELCOME PUPPIES,2,04-01-2010, £6.75 ,14709,United Kingdom
493433,48111,Numeric,DOOR MAT 3 SMILEY CATS,2,04-01-2010, £6.75 ,14709,United Kingdom
493433,48194,Numeric,DOORMAT HEARTS,2,04-01-2010, £6.75 ,14709,United Kingdom
493433,21232,Numeric,STRAWBERRY CERAMIC TRINKET BOX,24,04-01-2010, £1.25 ,14709,United Kingdom
493433,37503,Numeric,TEA TIME CAKE STAND IN GIFT BOX,6,04-01-2010, £10.75 ,14709,United Kingdom
493433,37502,Numeric,TEA TIME MUG IN GIFT BOX,6,04-01-2010, £2.95 ,14709,United Kingdom
493434,22064,Numeric,PINK DOUGHNUT TRINKET POT ,48,04-01-2010, £1.45 ,13798,United Kingdom
493434,21355,Numeric,TOAST ITS - I LOVE YOU ,288,04-01-2010, £1.05 ,13798,United Kingdom
493434,21181,Numeric,PLEASE ONE PERSON  METAL SIGN,48,04-01-2010, £1.85 ,13798,United Kingdom
493434,21080,Numeric,SET/20 RED SPOTTY PAPER NAPKINS ,96,04-01-2010, £0.64 ,13798,United Kingdom
493434,84520D,Other,PACK OF 20 FAIRY CAKE PAPER NAPKINS,96,04-01-2010, £0.64 ,13798,United Kingdom
493434,21843,Numeric,RETRO SPOT CAKE STAND,24,04-01-2010, £9.95 ,13798,United Kingdom
493434,37450,Numeric,CERAMIC CAKE BOWL + HANGING CAKES,18,04-01-2010, £2.55 ,13798,United Kingdom
493434,84596F,Other,SMALL MARSHMALLOWS PINK BOWL,72,04-01-2010, £1.06 ,13798,United Kingdom
493434,84596B,Other,SMALL DOLLY MIX DESIGN ORANGE BOWL,72,04-01-2010, £1.06 ,13798,United Kingdom
493435,21988,Numeric,PACK OF 6 SKULL PAPER PLATES,4,04-01-2010, £0.85 ,13206,United Kingdom
493435,22100,Numeric,SKULLS SQUARE TISSUE BOX,6,04-01-2010, £1.25 ,13206,United Kingdom
493435,21989,Numeric,PACK OF 20 SKULL PAPER NAPKINS,6,04-01-2010, £0.85 ,13206,United Kingdom
493435,21987,Numeric,PACK OF 6 SKULL PAPER CUPS,7,04-01-2010, £0.65 ,13206,United Kingdom
493435,84596E,Other,SMALL LICORICE DES PINK BOWL,6,04-01-2010, £1.25 ,13206,United Kingdom
493435,84380,Numeric,SET OF 3 BUTTERFLY COOKIE CUTTERS,4,04-01-2010, £1.25 ,13206,United Kingdom
493435,21082,Numeric,SET/20 FRUIT SALAD PAPER NAPKINS ,6,04-01-2010, £0.85 ,13206,United Kingdom
493435,20913,Numeric,SET/5 BLUE SPOTTY LID GLASS BOWLS,1,04-01-2010, £2.95 ,13206,United Kingdom
493435,22136,Numeric,LOVE HEART SOCK HANGER,6,04-01-2010, £1.65 ,13206,United Kingdom
493435,20675,Numeric,BLUE SPOTTY BOWL,5,04-01-2010, £1.25 ,13206,United Kingdom
493435,21836,Numeric,GINGHAM OVEN GLOVE RED HEART ,4,04-01-2010, £3.75 ,13206,United Kingdom
493435,84559A,Other,3D SHEET OF DOG STICKERS,8,04-01-2010, £0.85 ,13206,United Kingdom
493435,84578,Numeric,ELEPHANT TOY WITH BLUE T-SHIRT,4,04-01-2010, £3.75 ,13206,United Kingdom
493435,21026,Numeric,SPACE OWL,10,04-01-2010, £1.25 ,13206,United Kingdom
493435,21472,Numeric,LADYBIRD + BEE RAFFIA FOOD COVER,3,04-01-2010, £3.75 ,13206,United Kingdom
493435,37112,Numeric,YELLOW BIRDS FELT DES FOODCOVER,2,04-01-2010, £3.75 ,13206,United Kingdom
493435,84031B,Other,CHARLIE LOLA BLUE HOT WATER BOTTLE ,24,04-01-2010, £1.95 ,13206,United Kingdom
493435,72800D,Other,S/4 BLUE DINNER CANDLE SILVER FLOCK,12,04-01-2010, £0.79 ,13206,United Kingdom
493435,21488,Numeric,RED WHITE SCARF  HOT WATER BOTTLE,24,04-01-2010, £3.45 ,13206,United Kingdom
493435,72038P,Other,PRICE'S CANDLE PEACH,200,04-01-2010, £0.08 ,13206,United Kingdom
493435,72484,Numeric,ROSES IN WHITE HEART CANDLE ,48,04-01-2010, £0.38 ,13206,United Kingdom
493435,84032A,Other,CHARLIE+LOLA PINK HOT WATER BOTTLE,36,04-01-2010, £1.25 ,13206,United Kingdom
493435,84031A,Other,CHARLIE+LOLA RED HOT WATER BOTTLE ,24,04-01-2010, £1.95 ,13206,United Kingdom
493435,10120,Numeric,DOGGY RUBBER,30,04-01-2010, £0.21 ,13206,United Kingdom
493435,16237,Numeric,SLEEPING CAT ERASERS,30,04-01-2010, £0.21 ,13206,United Kingdom
493435,21678,Numeric,PAISLEY PATTERN  STICKERS,2,04-01-2010, £0.85 ,13206,United Kingdom
493435,22319,Numeric,HAIRCLIPS FORTIES FABRIC ASSORTED,12,04-01-2010, £0.65 ,13206,United Kingdom
493435,22036,Numeric,DINOSAUR BIRTHDAY CARD,12,04-01-2010, £0.42 ,13206,United Kingdom
493435,21504,Numeric,SKULLS GREETING CARD,12,04-01-2010, £0.42 ,13206,United Kingdom
493435,21507,Numeric,"ELEPHANT, BIRTHDAY CARD, ",12,04-01-2010, £0.42 ,13206,United Kingdom
493435,21509,Numeric,COWBOYS AND INDIANS BIRTHDAY CARD ,12,04-01-2010, £0.42 ,13206,United Kingdom
493435,22028,Numeric,PENNY FARTHING BIRTHDAY CARD,12,04-01-2010, £0.42 ,13206,United Kingdom
493435,22025,Numeric,RING OF ROSES BIRTHDAY CARD,12,04-01-2010, £0.42 ,13206,United Kingdom
