Row Labels,Count of Customer ID,,,,,,,,,,,,,,,,,,,,
United Kingdom,30163,,,,,,,,,,,,,,,,,,,,
Germany,654,,,,,,,,,,,,,,,,,,,,
EIRE,580,,,,,,,,,,,,,,,,,,,,
France,336,,,,,,,,,,,,,,,,,,,,
Spain,152,,,,,,,,,,,,,,,,,,,,
Netherlands,151,,,,,,,,,,,,,,,,,,,,
USA,105,,,,,,,,,,,,,,,,,,,,
Greece,101,,,,,,,,,,,,,,,,,,,,
Belgium,94,,,,,,,,,,,,,,,,,,,,
Unspecified,65,,,,,,,,,,,,,,,,,,,,
Grand Total,32401,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Row Labels,% of Total Quantity,% of Total price,,,,,,,,,,,,,,,,,,,
Belgium,0.17%,0.21%,,,,,,,,,,,,,,,,,,,
Channel Islands,0.05%,0.13%,,,,,,,,,,,,,,,,,,,
Cyprus,0.01%,0.01%,,,,,,,,,,,,,,,,,,,
Denmark,14.97%,0.04%,,,,,,,,,,,,,,,,,,,
EIRE,7.35%,7.71%,,,,,,,,,,,,,,,,,,,
Finland,0.06%,0.18%,,,,,,,,,,,,,,,,,,,
France,1.26%,0.85%,,,,,,,,,,,,,,,,,,,
Germany,1.65%,1.23%,,,,,,,,,,,,,,,,,,,
Greece,0.37%,0.22%,,,,,,,,,,,,,,,,,,,
Italy,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
Japan,0.02%,0.02%,,,,,,,,,,,,,,,,,,,
Malta,0.14%,1.03%,,,,,,,,,,,,,,,,,,,
Netherlands,4.82%,0.20%,,,,,,,,,,,,,,,,,,,
Nigeria,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
Portugal,0.05%,0.12%,,,,,,,,,,,,,,,,,,,
Spain,0.34%,2.07%,,,,,,,,,,,,,,,,,,,
Sweden,0.36%,0.08%,,,,,,,,,,,,,,,,,,,
United Kingdom,67.97%,85.49%,,,,,,,,,,,,,,,,,,,
Unspecified,0.09%,0.18%,,,,,,,,,,,,,,,,,,,
USA,0.32%,0.18%,,,,,,,,,,,,,,,,,,,
Grand Total,100.00%,100.00%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Row Labels,Total Quantity,Average Price,,,,,,,,,,,,,,,,,,,
Numeric,340668, £3.39 ,,,,,,,,,,,,,,,,,,,
Other,85127, £12.06 ,,,,,,,,,,,,,,,,,,,
Grand Total,425795, £5.28 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Row Labels,Total Quantity,,,,,,,,,,,,,,,,,,,,
Jan,415938,,,,,,,,,,,,,,,,,,,,
Feb,9857,,,,,,,,,,,,,,,,,,,,
Grand Total,425795,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sum of Quantity,Column Labels,,,,,,,,,,,,,,,,,,,,
Row Labels,Nigeria,Italy,Cyprus,Japan,Channel Islands,Portugal,Finland,Unspecified,Malta,Belgium,USA,Spain,Sweden,Greece,France,Germany,Netherlands,EIRE,Denmark,United Kingdom,Grand Total
Jan,1,1,32,1,195,2,265,383,,728,1344,1198,1538,1573,5368,6606,20532,31284,63754,281133,415938
Feb,,,,98,,199,,,607,,,253,,,,406,,,,8294,9857
Grand Total,1,1,32,99,195,201,265,383,607,728,1344,1451,1538,1573,5368,7012,20532,31284,63754,289427,425795
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sum of Quantity,,,,,,,,,,,,,,,,,,,,,
425795,,,,,,,,,,,,,,,,,,,,,
